year,brand,total_sales,us_produced,mexico_produced,japan_imported,origin,share_us_produced,share_mexico_produced,share_japan_imported,target_japan_relocation_intensity,total_light_vehicle_sales_million,us_auto_employment_thousands,us_auto_price_index_1982_100
2016,Mazda,325000,65000,113750,146250,Japan,0.2,0.35,0.45,0.2,17.88,975.2,147.2
2016,Volkswagen,354000,70800,123900,159300,EU,0.2,0.35,0.45,0.2,17.88,975.2,147.2
2016,BMW,351000,70200,122850,158950,EU,0.2,0.35,0.45284900284900287,0.2,17.88,975.2,147.2
2016,Mercedes-Benz,348000,69600,121800,156600,EU,0.2,0.35,0.45,0.2,17.88,975.2,147.2
2017,Toyota,1915000,383000,670250,851750,Japan,0.2,0.35,0.4447780678851175,0.2,17.564,980.1,148.1
2017,Honda,1339000,267800,468650,598550,Japan,0.2,0.35,0.44701269604182226,0.2,17.564,980.1,148.1
2017,Nissan,1387000,277400,485450,624150,Japan,0.2,0.35,0.45,0.2,17.564,980.1,148.1
2017,Ford,1290000,967500,129000,193500,US,0.75,0.1,0.15,0.75,17.564,980.1,148.1
2017,Chevrolet,1820000,1365000,182000,273000,US,0.75,0.1,0.15,0.75,17.564,980.1,148.1
2017,Hyundai,789000,157800,276150,355050,Korea,0.2,0.35,0.45,0.2,17.564,980.1,148.1
2017,Kia,649000,129800,227150,292050,Korea,0.2,0.35,0.45,0.2,17.564,980.1,148.1
2017,Subaru,604000,120800,211400,271800,Japan,0.2,0.35,0.45,0.2,17.564,980.1,148.1
2017,Mazda,331000,66200,115850,148950,Japan,0.2,0.35,0.45,0.2,17.564,980.1,148.1
2017,Volkswagen,359000,71800,125650,161550,EU,0.2,0.35,0.45,0.2,17.564,980.1,148.1
2017,BMW,356000,71200,124600,160200,EU,0.2,0.35,0.45,0.2,17.564,980.1,148.1
2017,Mercedes-Benz,353000,70600,123550,156850,EU,0.2,0.35,0.4443342776203966,0.2,17.564,980.1,148.1
2018,Toyota,1952000,390400,683200,878400,Japan,0.2,0.35,0.45,0.2,17.712,985.3,149.5
2018,Honda,1365000,273000,478750,613250,Japan,0.2,0.3507326007326007,0.4492673992673993,0.2,17.712,985.3,149.5
2018,Nissan,1414000,282800,494900,636300,Japan,0.2,0.35,0.45,0.2,17.712,985.3,149.5
2018,Ford,1315000,986250,131500,197250,US,0.75,0.1,0.15,0.75,17.712,985.3,149.5
2018,Chevrolet,1855000,1391250,185500,278250,US,0.75,0.1,0.15,0.75,17.712,985.3,149.5
2018,Hyundai,803000,160600,281050,361350,Korea,0.2,0.35,0.45,0.2,17.712,985.3,149.5
2018,Kia,661000,132200,231350,297450,Korea,0.2,0.35,0.45,0.2,17.712,985.3,149.5
2018,Subaru,615000,123000,215250,276750,Japan,0.2,0.35,0.45,0.2,17.712,985.3,149.5
2018,Mazda,337000,67400,117950,151650,Japan,0.2,0.35,0.45,0.2,17.712,985.3,149.5
2018,Volkswagen,364000,72800,127400,164800,EU,0.2,0.35,0.45274725274725275,0.2,17.712,985.3,149.5
2018,BMW,361000,72200,126350,162450,EU,0.2,0.35,0.45,0.2,17.712,985.3,149.5
2018,Mercedes-Benz,358000,71600,125300,155100,EU,0.2,0.35,0.4332402234636871,0.2,17.712,985.3,149.5
2019,Toyota,1989000,397800,696150,895050,Japan,0.2,0.35,0.45,0.2,17.489,990.8,150.2
2019,Honda,1391000,278200,488650,574150,Japan,0.2,0.351294033069734,0.41276060388209923,0.2,17.489,990.8,150.2
2019,Nissan,1441000,288200,504350,648450,Japan,0.2,0.35,0.45,0.2,17.489,990.8,150.2
2019,Ford,1340000,1005000,134000,201000,US,0.75,0.1,0.15,0.75,17.489,990.8,150.2
2019,Chevrolet,1890000,1417500,189000,283500,US,0.75,0.1,0.15,0.75,17.489,990.8,150.2
2019,Hyundai,817000,163400,285950,367650,Korea,0.2,0.35,0.45,0.2,17.489,990.8,150.2
2019,Kia,673000,134600,236050,302350,Korea,0.2,0.35074294205052003,0.44925705794947995,0.2,17.489,990.8,150.2
2019,Subaru,626000,125200,219100,281700,Japan,0.2,0.35,0.45,0.2,17.489,990.8,150.2
2019,Mazda,343000,68600,120050,154350,Japan,0.2,0.35,0.45,0.2,17.489,990.8,150.2
2019,Volkswagen,369000,73800,129150,165950,EU,0.2,0.35,0.4497289972899729,0.2,17.489,990.8,150.2
2019,BMW,366000,73200,128100,164700,EU,0.2,0.35,0.45,0.2,17.489,990.8,150.2
2019,Mercedes-Benz,363000,72600,127050,163350,EU,0.2,0.35,0.45,0.2,17.489,990.8,150.2
2020,Toyota,1600000,320000,560000,720000,Japan,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Honda,1300000,260000,455000,585000,Japan,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Nissan,1000000,200000,350000,450000,Japan,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Ford,1200000,900000,120000,180000,US,0.75,0.1,0.15,0.75,14.879,900.0,152.1
2020,Chevrolet,1700000,1275000,170000,255000,US,0.75,0.1,0.15,0.75,14.879,900.0,152.1
2020,Hyundai,720000,144000,252000,324000,Korea,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Kia,590000,118000,206500,265500,Korea,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Subaru,570000,114000,199500,256500,Japan,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Mazda,300000,60000,105000,135000,Japan,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Volkswagen,320000,64000,112000,144000,EU,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,BMW,317000,63400,110950,142650,EU,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2020,Mercedes-Benz,314000,62800,109900,141300,EU,0.2,0.35,0.45,0.2,14.879,900.0,152.1
2021,Toyota,1600000,340000,560000,700000,Japan,0.2125,0.35,0.4375,0.2125,15.409,915.0,158.3
2021,Honda,1300000,276250,455000,568750,Japan,0.2125,0.35,0.4375,0.2125,15.409,915.0,158.3
2021,Nissan,1000000,212500,350000,437500,Japan,0.2125,0.35,0.4375,0.2125,15.409,915.0,158.3
2021,Ford,1200000,906000,120000,174000,US,0.755,0.1,0.145,0.755,15.409,915.0,158.3
2021,Chevrolet,1720000,1290000,172000,258000,US,0.75,0.1,0.15,0.75,15.409,915.0,158.3
2021,Hyundai,735000,147000,257250,330750,Korea,0.2,0.35,0.45,0.2,15.409,915.0,158.3
2021,Kia,602000,120400,210700,270900,Korea,0.2,0.35,0.45,0.2,15.409,915.0,158.3
2021,Subaru,582000,116400,203700,261900,Japan,0.2,0.35,0.45,0.2,15.409,915.0,158.3
2021,Mazda,309000,61800,108150,139050,Japan,0.2,0.35,0.45,0.2,15.409,915.0,158.3
2021,Volkswagen,325000,65000,113750,146250,EU,0.2,0.35,0.45,0.2,15.409,915.0,158.3
2021,BMW,322000,64400,112700,144900,EU,0.2,0.35,0.45,0.2,15.409,915.0,158.3
2021,Mercedes-Benz,319000,63800,111650,143550,EU,0.2,0.35,0.45,0.2,15.409,915.0,158.3
2022,Toyota,1648000,370800,576800,700400,Japan,0.225,0.35,0.425,0.225,14.23,925.0,165.2
2022,Honda,1339000,301275,468650,569075,Japan,0.225,0.35,0.425,0.225,14.23,925.0,165.2
2022,Nissan,1030000,231750,360500,437750,Japan,0.225,0.35,0.425,0.225,14.23,925.0,165.2
2022,Ford,1236000,939360,123600,173040,US,0.76,0.1,0.14,0.76,14.23,925.0,165.2
2022,Chevrolet,1760000,1320000,176000,264000,US,0.75,0.1,0.15,0.75,14.23,925.0,165.2
2022,Hyundai,750000,150000,262500,337500,Korea,0.2,0.35,0.45,0.2,14.23,925.0,165.2
2022,Kia,614000,122800,214900,276300,Korea,0.2,0.35,0.45,0.2,14.23,925.0,165.2
2022,Subaru,594000,118800,207900,267300,Japan,0.2,0.35,0.45,0.2,14.23,925.0,165.2
2022,Mazda,315000,63000,110250,141750,Japan,0.2,0.35,0.45,0.2,14.23,925.0,165.2
2022,Volkswagen,330000,66000,115500,148500,EU,0.2,0.35,0.45,0.2,14.23,925.0,165.2
2022,BMW,327000,65400,114450,147150,EU,0.2,0.35,0.45,0.2,14.23,925.0,165.2
2022,Mercedes-Benz,324000,64800,113400,145800,EU,0.2,0.35,0.45,0.2,14.23,925.0,165.2
2023,Toyota,1696000,402800,593600,699600,Japan,0.2375,0.35,0.4125,0.2375,16.011,935.0,170.8
2023,Honda,1378000,327275,482300,568425,Japan,0.2375,0.35,0.4125,0.2375,16.011,935.0,170.8
2023,Nissan,1060000,251750,371000,437250,Japan,0.2375,0.35,0.4125,0.2375,16.011,935.0,170.8
2023,Ford,1272000,973080,127200,171720,US,0.765,0.1,0.135,0.765,16.011,935.0,170.8
2023,Chevrolet,1800000,1350000,180000,270000,US,0.75,0.1,0.15,0.75,16.011,935.0,170.8
2023,Hyundai,765000,153000,267750,344250,Korea,0.2,0.35,0.45,0.2,16.011,935.0,170.8
2023,Kia,626000,125200,219100,281700,Korea,0.2,0.35,0.45,0.2,16.011,935.0,170.8
2023,Subaru,608000,121600,212800,273600,Japan,0.2,0.35,0.45,0.2,16.011,935.0,170.8
2023,Mazda,321000,64200,112350,144450,Japan,0.2,0.35,0.45,0.2,16.011,935.0,170.8
2023,Volkswagen,335000,67000,117250,150750,EU,0.2,0.35,0.45,0.2,16.011,935.0,170.8
2023,BMW,332000,66400,116200,149400,EU,0.2,0.35,0.45,0.2,16.011,935.0,170.8
2023,Mercedes-Benz,329000,65800,115150,148050,EU,0.2,0.35,0.45,0.2,16.011,935.0,170.8
2024,Toyota,1744000,436000,610400,697600,Japan,0.25,0.35,0.4,0.25,16.34,945.0,175.5
2024,Honda,1417000,354250,495950,566800,Japan,0.25,0.35,0.4,0.25,16.34,945.0,175.5
2024,Nissan,1090000,272500,381500,436000,Japan,0.25,0.35,0.4,0.25,16.34,945.0,175.5
2024,Ford,1308000,1007160,130800,170040,US,0.77,0.1,0.13,0.77,16.34,945.0,175.5
2024,Chevrolet,1840000,1380000,184000,276000,US,0.75,0.1,0.15,0.75,16.34,945.0,175.5
2024,Hyundai,780000,156000,273000,351000,Korea,0.2,0.35,0.45,0.2,16.34,945.0,175.5
2024,Kia,638000,127600,223300,287100,Korea,0.2,0.35,0.45,0.2,16.34,945.0,175.5
2024,Subaru,622000,124400,217700,279900,Japan,0.2,0.35,0.45,0.2,16.34,945.0,175.5
2024,Mazda,327000,65400,114450,147150,Japan,0.2,0.35,0.45,0.2,16.34,945.0,175.5
2024,Volkswagen,340000,68000,119000,153000,EU,0.2,0.35,0.45,0.2,16.34,945.0,175.5
2024,BMW,337000,67400,117950,151650,EU,0.2,0.35,0.45,0.2,16.34,945.0,175.5
2024,Mercedes-Benz,334000,66800,116900,150200,EU,0.2,0.35,0.4497005988023952,0.2,16.34,945.0,175.5
